Labels;RuSL_BOLD062A2_REP2;RuSL_BOLD062_B2_rep2;RuSL_BOLD062_C2_REP;RuSL_BOLD062_D2_REP2
680;4,38E+04;1,24E+04;3,95E+03;1,08E+03
681;4,40E+04;1,23E+04;3,87E+03;1,01E+03
682;4,34E+04;1,22E+04;3,82E+03;1,08E+03
683;4,30E+04;1,22E+04;3,76E+03;1,04E+03
684;4,23E+04;1,20E+04;3,74E+03;1,03E+03
685;4,19E+04;1,19E+04;3,78E+03;9,58E+02
686;4,17E+04;1,17E+04;3,68E+03;9,82E+02
687;4,09E+04;1,17E+04;3,74E+03;9,01E+02
688;4,10E+04;1,14E+04;3,73E+03;9,79E+02
689;4,09E+04;1,13E+04;3,65E+03;9,03E+02
690;4,04E+04;1,12E+04;3,49E+03;9,23E+02
691;4,03E+04;1,13E+04;3,62E+03;9,43E+02
692;3,91E+04;1,11E+04;3,40E+03;9,68E+02
693;3,90E+04;1,12E+04;3,49E+03;9,22E+02
694;3,88E+04;1,08E+04;3,41E+03;9,64E+02
695;3,86E+04;1,10E+04;3,40E+03;8,98E+02
696;3,84E+04;1,05E+04;3,38E+03;9,03E+02
697;3,77E+04;1,07E+04;3,36E+03;9,18E+02
698;3,75E+04;1,02E+04;3,13E+03;8,96E+02
699;3,76E+04;1,04E+04;3,30E+03;9,08E+02
700;3,71E+04;1,02E+04;3,18E+03;7,89E+02
701;3,63E+04;1,01E+04;3,22E+03;8,42E+02
702;3,55E+04;9,93E+03;3,07E+03;8,08E+02
703;3,59E+04;9,70E+03;3,09E+03;7,86E+02
704;3,54E+04;9,80E+03;3,13E+03;8,59E+02
705;3,48E+04;9,97E+03;3,14E+03;7,67E+02
706;3,49E+04;9,41E+03;2,93E+03;8,81E+02
707;3,49E+04;9,23E+03;2,93E+03;8,07E+02
708;3,39E+04;9,42E+03;2,97E+03;7,62E+02
709;3,33E+04;9,32E+03;2,88E+03;8,79E+02
710;3,28E+04;8,99E+03;2,78E+03;7,98E+02
711;3,24E+04;8,99E+03;2,81E+03;7,91E+02
712;3,23E+04;8,76E+03;2,84E+03;7,61E+02
713;3,24E+04;8,70E+03;2,57E+03;7,91E+02
714;3,18E+04;8,89E+03;2,70E+03;8,03E+02
715;3,13E+04;8,69E+03;2,61E+03;7,46E+02
716;3,12E+04;8,85E+03;2,60E+03;6,79E+02
717;3,06E+04;8,29E+03;2,58E+03;6,50E+02
718;3,07E+04;8,15E+03;2,67E+03;6,94E+02
719;2,99E+04;8,25E+03;2,51E+03;7,18E+02
720;2,94E+04;8,05E+03;2,62E+03;6,04E+02
721;2,96E+04;8,14E+03;2,50E+03;6,59E+02
722;2,84E+04;7,62E+03;2,30E+03;6,83E+02
723;2,85E+04;7,67E+03;2,37E+03;6,71E+02
724;2,79E+04;7,63E+03;2,30E+03;6,56E+02
725;2,76E+04;7,86E+03;2,32E+03;6,76E+02
726;2,71E+04;7,47E+03;2,33E+03;6,07E+02
727;2,71E+04;7,59E+03;2,30E+03;6,20E+02
728;2,65E+04;7,37E+03;2,13E+03;6,09E+02
729;2,62E+04;7,22E+03;2,13E+03;6,41E+02
730;2,59E+04;7,11E+03;2,12E+03;5,70E+02
731;2,51E+04;6,91E+03;2,13E+03;5,64E+02
732;2,55E+04;7,23E+03;2,15E+03;6,30E+02
733;2,43E+04;6,93E+03;2,07E+03;5,77E+02
734;2,42E+04;6,72E+03;2,09E+03;5,43E+02
735;2,41E+04;6,50E+03;1,99E+03;5,43E+02
736;2,42E+04;6,98E+03;2,09E+03;4,85E+02
737;2,35E+04;6,59E+03;2,00E+03;5,16E+02
738;2,31E+04;6,63E+03;1,94E+03;5,57E+02
739;2,24E+04;6,35E+03;1,85E+03;5,88E+02
740;2,25E+04;6,01E+03;1,86E+03;4,94E+02
741;2,20E+04;6,22E+03;1,80E+03;5,33E+02
742;2,18E+04;5,90E+03;1,80E+03;4,85E+02
743;2,12E+04;5,78E+03;1,75E+03;4,29E+02
744;2,14E+04;5,60E+03;1,87E+03;4,98E+02
745;2,08E+04;5,76E+03;1,73E+03;4,48E+02
746;2,06E+04;5,71E+03;1,65E+03;4,31E+02
747;2,00E+04;5,61E+03;1,72E+03;4,82E+02
748;1,90E+04;5,73E+03;1,63E+03;4,48E+02
749;2,01E+04;5,76E+03;1,69E+03;3,88E+02
750;1,90E+04;5,61E+03;1,54E+03;4,41E+02
751;1,85E+04;5,16E+03;1,73E+03;4,39E+02
752;1,88E+04;5,32E+03;1,56E+03;3,78E+02
753;1,86E+04;5,09E+03;1,51E+03;4,45E+02
754;1,84E+04;4,99E+03;1,40E+03;4,42E+02
755;1,79E+04;4,88E+03;1,42E+03;5,01E+02
756;1,74E+04;5,06E+03;1,40E+03;3,97E+02
757;1,76E+04;4,97E+03;1,47E+03;3,76E+02
758;1,67E+04;4,71E+03;1,55E+03;4,76E+02
